C(curve)[T.Y],C(surf_typ)[T.B],C(surf_typ)[T.P],log_aadt,lanewid,avg_grad
0,0,0,10.82576036,13.46875,0.007154
0,0,0,10.82774645,13.46875,0.007154
0,0,0,10.82972862,13.46875,0.007154
0,0,0,10.83170686,13.46875,0.007154
0,0,0,10.83368119,13.46875,0.007154
0,0,0,10.83565163,13.46875,0.007154
0,0,0,10.8376182,13.46875,0.007154
0,0,0,10.83958091,13.46875,0.007154
0,0,0,10.84153978,13.46875,0.007154
0,0,0,10.84349481,13.46875,0.007154
0,0,0,10.84544603,13.46875,0.007154
0,0,0,10.84739345,13.46875,0.007154
0,0,0,10.84933709,13.46875,0.007154
0,0,0,10.85127695,13.46875,0.007154
0,0,0,10.85321306,13.46875,0.007154
0,0,0,10.85514543,13.46875,0.007154
0,0,0,10.85707407,13.46875,0.007154
0,0,0,10.858999,13.46875,0.007154
0,0,0,10.86092023,13.46875,0.007154
0,0,0,10.86283777,13.46875,0.007154
0,0,0,10.86475165,13.46875,0.007154
0,0,0,10.86666187,13.46875,0.007154
0,0,0,10.86856845,13.46875,0.007154
0,0,0,10.8704714,13.46875,0.007154
0,0,0,10.87237073,13.46875,0.007154
0,0,0,10.87426647,13.46875,0.007154
0,0,0,10.87615862,13.46875,0.007154
0,0,0,10.87804719,13.46875,0.007154
0,0,0,10.87993221,13.46875,0.007154
0,0,0,10.88181368,13.46875,0.007154
0,0,0,10.88369161,13.46875,0.007154
0,0,0,10.88556602,13.46875,0.007154
0,0,0,10.88743693,13.46875,0.007154
0,0,0,10.88930435,13.46875,0.007154
0,0,0,10.89116828,13.46875,0.007154
0,0,0,10.89302875,13.46875,0.007154
0,0,0,10.89488576,13.46875,0.007154
0,0,0,10.89673933,13.46875,0.007154
0,0,0,10.89858946,13.46875,0.007154
0,0,0,10.90043619,13.46875,0.007154
0,0,0,10.90227951,13.46875,0.007154
0,0,0,10.90411943,13.46875,0.007154
0,0,0,10.90595598,13.46875,0.007154
0,0,0,10.90778916,13.46875,0.007154
0,0,0,10.90961899,13.46875,0.007154
0,0,0,10.91144547,13.46875,0.007154
0,0,0,10.91326863,13.46875,0.007154
0,0,0,10.91508846,13.46875,0.007154
0,0,0,10.916905,13.46875,0.007154
0,0,0,10.91871823,13.46875,0.007154
0,0,0,10.92052819,13.46875,0.007154
0,0,0,10.92233487,13.46875,0.007154
0,0,0,10.9241383,13.46875,0.007154
0,0,0,10.92593848,13.46875,0.007154
0,0,0,10.92773543,13.46875,0.007154
0,0,0,10.92952915,13.46875,0.007154
0,0,0,10.93131966,13.46875,0.007154
0,0,0,10.93310697,13.46875,0.007154
0,0,0,10.93489109,13.46875,0.007154
0,0,0,10.93667204,13.46875,0.007154
0,0,0,10.93844981,13.46875,0.007154
0,0,0,10.94022444,13.46875,0.007154
0,0,0,10.94199592,13.46875,0.007154
0,0,0,10.94376426,13.46875,0.007154
0,0,0,10.94552949,13.46875,0.007154
0,0,0,10.9472916,13.46875,0.007154
0,0,0,10.94905062,13.46875,0.007154
0,0,0,10.95080655,13.46875,0.007154
0,0,0,10.9525594,13.46875,0.007154
0,0,0,10.95430918,13.46875,0.007154
0,0,0,10.9560559,13.46875,0.007154
0,0,0,10.95779958,13.46875,0.007154
0,0,0,10.95954023,13.46875,0.007154
0,0,0,10.96127785,13.46875,0.007154
0,0,0,10.96301245,13.46875,0.007154
0,0,0,10.96474405,13.46875,0.007154
0,0,0,10.96647266,13.46875,0.007154
0,0,0,10.96819829,13.46875,0.007154
0,0,0,10.96992094,13.46875,0.007154
0,0,0,10.97164063,13.46875,0.007154
0,0,0,10.97335737,13.46875,0.007154
0,0,0,10.97507117,13.46875,0.007154
0,0,0,10.97678203,13.46875,0.007154
0,0,0,10.97848998,13.46875,0.007154
0,0,0,10.98019501,13.46875,0.007154
0,0,0,10.98189713,13.46875,0.007154
0,0,0,10.98359637,13.46875,0.007154
0,0,0,10.98529272,13.46875,0.007154
0,0,0,10.9869862,13.46875,0.007154
0,0,0,10.98867682,13.46875,0.007154
0,0,0,10.99036458,13.46875,0.007154
0,0,0,10.99204951,13.46875,0.007154
0,0,0,10.99373159,13.46875,0.007154
0,0,0,10.99541085,13.46875,0.007154
0,0,0,10.9970873,13.46875,0.007154
0,0,0,10.99876094,13.46875,0.007154
0,0,0,11.00043178,13.46875,0.007154
0,0,0,11.00209984,13.46875,0.007154
0,0,0,11.00376512,13.46875,0.007154
0,0,0,11.00542763,13.46875,0.007154
0,0,0,11.00708738,13.46875,0.007154
0,0,0,11.00874438,13.46875,0.007154
0,0,0,11.01039864,13.46875,0.007154
0,0,0,11.01205017,13.46875,0.007154
0,0,0,11.01369898,13.46875,0.007154
0,0,0,11.01534507,13.46875,0.007154
0,0,0,11.01698845,13.46875,0.007154
0,0,0,11.01862914,13.46875,0.007154
0,0,0,11.02026715,13.46875,0.007154
0,0,0,11.02190247,13.46875,0.007154
0,0,0,11.02353512,13.46875,0.007154
0,0,0,11.02516511,13.46875,0.007154
0,0,0,11.02679245,13.46875,0.007154
0,0,0,11.02841715,13.46875,0.007154
0,0,0,11.03003921,13.46875,0.007154
0,0,0,11.03165864,13.46875,0.007154
0,0,0,11.03327546,13.46875,0.007154
0,0,0,11.03488966,13.46875,0.007154
0,0,0,11.03650127,13.46875,0.007154
0,0,0,11.03811028,13.46875,0.007154
0,0,0,11.0397167,13.46875,0.007154
0,0,0,11.04132055,13.46875,0.007154
0,0,0,11.04292184,13.46875,0.007154
0,0,0,11.04452056,13.46875,0.007154
0,0,0,11.04611673,13.46875,0.007154
0,0,0,11.04771035,13.46875,0.007154
0,0,0,11.04930144,13.46875,0.007154
0,0,0,11.05089001,13.46875,0.007154
0,0,0,11.05247605,13.46875,0.007154
0,0,0,11.05405958,13.46875,0.007154
0,0,0,11.05564061,13.46875,0.007154
0,0,0,11.05721914,13.46875,0.007154
0,0,0,11.05879518,13.46875,0.007154
0,0,0,11.06036875,13.46875,0.007154
0,0,0,11.06193984,13.46875,0.007154
0,0,0,11.06350847,13.46875,0.007154
0,0,0,11.06507464,13.46875,0.007154
0,0,0,11.06663836,13.46875,0.007154
0,0,0,11.06819964,13.46875,0.007154
0,0,0,11.06975849,13.46875,0.007154
0,0,0,11.07131491,13.46875,0.007154
0,0,0,11.07286891,13.46875,0.007154
0,0,0,11.0744205,13.46875,0.007154
0,0,0,11.07596969,13.46875,0.007154
