rd_inv,milepost,caseno,accyr,rte_nbr,county,func_cls,month,daymth,acctype,severity,loc_type,rd_char1,rdsurf,light,weather
026,28.77,2009000133,2009,026,13,02,01,20,16,6,1,1,4,2,01
097,204.25,2009000134,2009,097,09,02,01,02,15,1,1,2,3,1,04
097,199.18,2009000135,2009,097,09,02,01,02,50,7,5,1,3,1,04
002,90.47,2009000136,2009,002,04,02,01,08,02,6,4,2,2,4,03
012,147.74,2009000138,2009,012,21,02,01,05,34,1,4,2,3,6,04
005,166.6,2009000139,2009,005,17,11,01,05,98,1,4,1,2,1,02
082,22.41,2009000140,2009,082,39,01,01,02,60,1,4,2,3,6,04
005R125232,0.21,2009000141,2009,005,37,11,01,01,13,7,1,1,2,4,03
002,5.03,2009000142,2009,002,31,12,01,02,01,7,4,2,4,1,01
002,57.77,2009000143,2009,002,17,02,01,02,16,6,4,2,3,1,02
096,5.42,2009000144,2009,096,31,16,01,02,60,7,4,1,1,1,01
082,37.49,2009000145,2009,082,39,11,01,02,33,1,4,1,3,1,02
005,261.64,2009000146,2009,005,37,11,01,02,50,7,4,1,1,1,01
542,2.41,2009000147,2009,542,37,16,01,26,06,7,4,1,1,1,01
544,1.97,2009000148,2009,544,37,07,02,03,06,1,1,1,1,1,01
020,60.41,2009000149,2009,020,29,14,01,01,13,1,1,5,1,6,02
395,173.54,2009000150,2009,395,32,12,01,01,50,1,5,2,3,6,02
285COWENTCH,0.31,2009000151,2009,285,04,14,01,01,07,6,1,1,3,1,02
167,6.18,2009000152,2009,167,27,14,01,18,05,1,1,1,1,4,01
097,238.21,2009000153,2009,097,24,02,01,08,13,1,4,2,4,2,01
005,155.38,2009000154,2009,005,17,11,01,02,34,7,4,1,1,1,01
005FD12892,0.66,2009000155,2009,005,27,11,01,01,03,1,1,1,2,4,03
090,9.96,2009000156,2009,090,17,11,01,02,33,1,4,5,1,1,01
009,60.7,2009000157,2009,009,29,07,01,02,12,7,1,1,3,1,02
005,77.07,2009000159,2009,005,21,11,01,23,04,6,4,1,1,6,01
005,63.91,2009000160,2009,005,21,01,01,02,33,6,4,1,4,1,01
008,2.2,2009000161,2009,008,14,02,01,02,50,5,4,1,4,6,01
012,8.16,2009000162,2009,012,14,02,01,02,33,1,5,3,4,4,01
099,39.16,2009000163,2009,099,31,14,01,01,04,6,6,1,2,4,03
007,43.82,2009000164,2009,007,27,14,01,02,34,6,4,1,3,4,08
020,327,2009000165,2009,020,10,06,01,07,98,1,4,2,4,6,05
005,143.29,2009000166,2009,005,17,11,01,22,04,1,4,1,1,1,02
