rd_inv,milepost,caseno,rte_nbr,county,func_cls,accyr,month,daymth,acctype,severity,loc_type,rd_char1,rdsurf,light,weather
003,32.47,2006028865,003,18,02,2006,08,18,06,6,4,2,1,6,01
160,5.09,2006028866,160,18,06,2006,08,16,60,1,1,2,1,1,01
303,3.23,2006028867,303,18,14,2006,08,16,17,1,3,1,1,1,01
101,166.64,2006028868,101,16,02,2006,08,15,34,6,4,6,1,1,01
019,12.43,2006028869,019,16,06,2006,08,18,03,7,1,1,1,1,01
101S134479,0.1,2006028870,101,23,14,2006,08,15,06,1,1,2,1,1,01
106,16.06,2006028871,106,23,07,2006,08,16,60,1,4,1,1,1,01
101,4.8,2006028872,101,25,06,2006,08,18,06,7,3,1,1,5,01
005,121.56,2006028873,005,27,11,2006,08,18,06,1,4,1,1,6,01
500,0.89,2006028874,500,06,12,2006,08,15,06,1,5,5,1,1,01
005,9.98,2006028875,005,06,11,2006,08,18,33,1,4,2,1,1,01
539,5.5,2006028876,539,37,02,2006,08,16,02,1,1,1,1,1,01
009,74.1,2006028877,009,37,07,2006,08,17,27,1,4,1,1,1,01
009,42.74,2006028878,009,29,07,2006,08,16,33,1,4,5,1,1,01
011,11.81,2006028879,011,29,07,2006,08,17,33,6,4,5,1,1,01
503SPCOUGAR,1.56,2006028880,503,08,07,2006,06,30,32,7,4,5,1,1,01
097,224.56,2006028881,097,04,02,2006,08,16,04,1,7,1,1,1,01
028,29.38,2006028882,028,13,02,2006,08,17,06,1,3,1,1,1,01
017,47.99,2006028883,017,13,12,2006,08,17,06,1,2,1,1,1,01
005,165.97,2006028885,005,17,11,2006,08,16,06,7,4,1,1,1,01
005,171.06,2006028886,005,17,11,2006,08,18,06,1,4,1,1,1,01
005,163.36,2006028887,005,17,11,2006,08,16,06,1,4,1,1,1,01
520,1.9,2006028888,520,17,12,2006,08,16,06,7,4,1,1,4,01
005,176.36,2006028889,005,17,11,2006,08,18,06,1,4,1,1,1,01
005,172.81,2006028890,005,17,11,2006,08,18,06,1,4,1,1,1,01
005,162.35,2006028891,005,17,11,2006,08,16,33,7,4,6,1,4,01
005,170.31,2006028892,005,17,11,2006,08,17,06,1,4,1,1,1,01
005RL005EXP,1.68,2006028893,005,17,11,2006,08,16,05,1,4,6,1,1,01
005,166.43,2006028894,005,17,11,2006,08,16,06,1,4,6,1,1,01
520,4.69,2006028895,520,17,12,2006,08,17,04,1,4,6,1,1,01
090P100907,0.45,2006028896,090,17,11,2006,08,18,06,1,4,1,1,1,01
090,10.72,2006028897,090,17,11,2006,08,16,06,1,4,1,1,1,01
405,22.79,2006028898,405,17,11,2006,08,15,15,1,4,1,1,1,01
524,7.17,2006028899,524,31,16,2006,08,15,06,1,4,1,1,1,01
005,194.56,2006028900,005,31,11,2006,08,18,05,1,4,1,1,1,01
900,1.23,2006028901,900,17,14,2006,08,17,60,1,4,2,1,5,01
005HD15463,0,2006028902,005,17,11,2006,08,17,05,1,1,1,1,1,02
518,1,2006028903,518,17,12,2006,08,17,02,7,4,6,1,1,02
167,18.57,2006028904,167,17,12,2006,08,17,05,1,4,1,1,1,01
515,3.09,2006028905,515,17,16,2006,08,17,02,6,1,1,1,4,01
005,150.03,2006028906,005,17,11,2006,08,18,04,1,4,1,1,2,01
167,26.04,2006028907,167,17,12,2006,08,15,05,1,1,2,1,1,02
018P100243,0.26,2006028908,018,17,12,2006,08,15,06,1,1,6,1,4,01
090,276.72,2006028909,090,32,11,2006,08,17,04,1,4,2,1,1,01
002,230.93,2006028910,002,22,02,2006,08,16,50,7,3,1,1,1,01
090,239.71,2006028911,090,22,01,2006,08,18,15,1,4,1,1,4,01
395,225.2,2006028912,395,33,02,2006,08,16,32,1,4,5,1,6,01
002COBROWNE,0.31,2006028913,002,32,14,2006,08,16,03,1,1,1,1,1,01
002,280.32,2006028914,002,32,14,2006,08,17,03,6,1,1,1,1,01
519,0.14,2006028915,519,17,14,2006,08,15,05,1,1,1,1,1,01
005FD16768,0.2,2006028916,005,17,11,2006,08,16,05,1,5,1,1,1,01
028,0,2006028917,028,09,14,2006,08,16,05,1,1,1,1,1,01
900CO2NDST,0.2,2006028918,900,17,14,2006,08,13,12,1,1,1,1,1,01
005,131.2,2006028919,005,27,11,2006,08,16,06,7,5,1,1,1,01
005,135.75,2006028920,005,27,11,2006,08,16,06,7,4,1,1,1,01
529,7.33,2006028921,529,31,14,2006,08,16,60,1,4,5,1,6,01
526,4.45,2006028922,526,31,12,2006,08,15,06,1,1,1,1,1,01
509LX02560,0.07,2006028923,509,17,12,2006,08,15,07,7,1,1,1,1,01
167,27.6,2006028924,167,17,12,2006,08,15,06,7,4,1,1,1,01
167S102191,0,2006028925,167,17,12,2006,08,17,04,1,1,2,1,1,01
171,2.18,2006028926,171,13,14,2006,08,18,06,1,4,1,1,1,01
007,16.3,2006028927,007,21,06,2006,08,19,13,1,1,1,1,1,01
002COBROWNE,0.11,2006028928,002,32,14,2006,08,25,06,1,5,5,1,1,01
002COBROWNE,0.19,2006028929,002,32,14,2006,08,19,12,1,1,1,1,4,01
002,278.88,2006028930,002,32,14,2006,08,19,06,1,1,1,1,1,01
005,180.56,2006028931,005,31,11,2006,08,19,04,1,5,2,1,1,01
512,9.3,2006028932,512,27,12,2006,08,18,06,7,4,2,1,1,01
522,7.08,2006028933,522,17,14,2006,08,19,02,1,3,1,1,1,01
522,6.61,2006028934,522,17,14,2006,08,18,06,6,5,1,1,1,01
405,9.87,2006028935,405,17,11,2006,08,17,03,1,4,6,1,1,01
520,11.96,2006028936,520,17,12,2006,08,17,06,1,4,6,1,1,01
520,5.88,2006028937,520,17,12,2006,08,18,06,6,4,1,1,4,01
405Q501379,0.14,2006028938,405,17,11,2006,08,19,33,7,1,5,1,4,01
405,10.77,2006028939,405,17,11,2006,08,18,06,7,4,1,1,1,01
007,52.27,2006028940,007,27,14,2006,08,17,03,1,3,1,1,1,02
512R100617,0.11,2006028941,512,27,12,2006,08,18,06,7,4,1,1,1,01
162,0.83,2006028943,162,27,16,2006,08,18,06,7,1,1,1,1,01
005,115.32,2006028946,005,27,01,2006,08,16,06,1,4,1,1,1,02
005S512677,0.17,2006028947,005,27,11,2006,08,17,16,7,4,6,1,1,02
016,5.17,2006028948,016,27,12,2006,08,18,06,6,4,2,1,1,01
005,131.39,2006028949,005,27,11,2006,08,18,16,1,4,1,1,1,01
005,132.76,2006028950,005,27,11,2006,08,19,06,1,4,2,1,1,01
005P513175,0.14,2006028951,005,27,11,2006,08,18,33,1,4,6,1,1,01
005,120.96,2006028952,005,27,11,2006,08,18,06,1,4,1,1,1,01
005,131.06,2006028953,005,27,11,2006,08,19,06,1,4,1,1,1,01
016,0.15,2006028954,016,27,12,2006,08,19,06,7,4,1,1,1,01
016,2.36,2006028955,016,27,12,2006,08,19,06,1,4,1,1,1,01
405,2,2006028956,405,17,11,2006,08,19,06,1,4,1,1,4,01
515,2.2,2006028957,515,17,16,2006,08,18,06,7,1,6,1,1,01
169,17.4,2006028958,169,17,06,2006,08,19,13,7,3,1,1,9,01
005,142.08,2006028959,005,17,11,2006,08,18,05,1,4,1,1,1,01
005,142.12,2006028960,005,17,11,2006,08,18,16,7,4,1,1,1,01
162,2.97,2006028961,162,27,16,2006,08,18,06,1,1,5,1,1,01
161,21.43,2006028962,161,27,14,2006,08,18,06,7,8,1,1,1,01
165,16.1,2006028963,165,27,16,2006,08,18,07,5,4,6,1,6,01
016,3.78,2006028964,016,27,12,2006,08,17,06,1,4,2,1,1,01
005,126.12,2006028965,005,27,11,2006,08,19,33,7,4,1,1,4,01
512,11.12,2006028966,512,27,12,2006,08,16,14,1,4,3,1,1,01
005,134.92,2006028967,005,27,11,2006,08,18,06,1,4,2,1,1,01
005,119.07,2006028968,005,27,11,2006,08,17,06,1,4,2,1,1,01
302,15.85,2006028969,302,27,14,2006,08,17,06,7,1,1,1,4,01
005,122.26,2006028970,005,27,11,2006,08,18,06,7,4,1,1,1,01
005,138.16,2006028971,005,27,11,2006,08,19,33,1,4,1,1,5,01
410,2.5,2006028972,410,27,12,2006,08,18,06,1,5,1,1,5,01
005,13.48,2006028973,005,06,01,2006,08,19,06,7,4,1,1,6,01
014,1.51,2006028974,014,06,12,2006,08,17,06,6,5,1,1,4,01
005,13.48,2006028975,005,06,01,2006,08,19,06,6,4,1,1,6,01
205P103265,0.31,2006028976,205,06,11,2006,08,19,06,1,1,5,1,1,01
500,2.53,2006028977,500,06,12,2006,08,18,06,1,4,2,1,1,01
099,31.07,2006028978,099,17,14,2006,08,19,06,6,2,1,1,1,01
099,33.73,2006028979,099,17,14,2006,08,19,12,1,1,1,1,4,01
410,18.16,2006028980,410,17,06,2006,08,18,34,1,4,6,1,6,01
303,2.25,2006028981,303,18,14,2006,08,16,06,1,7,1,1,1,01
005LX12959,0,2006028982,005,27,11,2006,08,18,12,1,1,2,1,1,01
099,35.22,2006028983,099,17,14,2006,08,17,06,1,6,1,1,1,01
099,36.73,2006028984,099,17,14,2006,08,18,07,1,1,2,1,1,01
163,0.09,2006028985,163,27,14,2006,08,18,04,1,5,1,1,1,01
547,5.94,2006028986,547,37,07,2006,08,19,03,1,3,1,1,1,01
012,363.34,2006028987,012,07,02,2006,08,19,12,1,3,1,1,1,01
005LX17929,0.13,2006028988,005,31,11,2006,08,18,06,6,1,1,1,4,01
099,35.37,2006028989,099,17,14,2006,08,19,03,1,3,1,1,1,01
240,37,2006028990,240,03,12,2006,06,27,33,1,4,5,1,1,01
203,14.01,2006028991,203,17,14,2006,08,18,06,1,1,2,1,1,01
432,6.1,2006028992,432,08,14,2006,08,19,34,5,5,5,1,4,01
005,163.88,2006028993,005,17,11,2006,08,19,06,1,4,1,1,1,01
005,171.66,2006028994,005,17,11,2006,08,19,06,1,4,1,1,1,01
090S100926,0.26,2006028995,090,17,11,2006,03,24,06,1,4,6,1,1,02
099,45.5,2006028996,099,31,14,2006,08,15,07,1,1,3,1,1,01
007,55.09,2006028997,007,27,14,2006,08,18,06,7,4,1,1,1,01
161,36.17,2006028998,161,17,14,2006,08,18,03,1,1,1,1,1,01
509,17.39,2006028999,509,17,16,2006,08,17,06,7,1,1,1,1,01
101COABERDN,1.49,2006029000,101,14,14,2006,07,07,06,1,1,1,1,1,01
101,87.13,2006029001,101,14,14,2006,07,08,05,1,4,1,1,1,01
101,86.21,2006029002,101,14,14,2006,07,28,04,1,4,1,1,1,01
101COABERDN,1.24,2006029003,101,14,14,2006,07,29,06,7,2,1,1,1,01
305,12.67,2006029004,305,18,14,2006,08,18,06,1,4,1,1,1,01
101COPRTANG,0.27,2006029005,101,05,14,2006,08,18,06,7,4,1,1,1,01
101,246.96,2006029006,101,05,14,2006,08,11,14,1,4,9,1,9,01
005,41.12,2006029007,005,08,11,2006,08,18,50,7,4,1,1,4,01
527,6.02,2006029008,527,31,14,2006,08,16,03,6,1,1,1,1,01
524,5.42,2006029009,524,31,16,2006,08,17,06,1,1,1,1,1,01
099,39.45,2006029010,099,31,14,2006,08,17,06,1,5,1,1,1,01
099,40.58,2006029011,099,31,14,2006,08,19,06,7,1,1,1,1,01
161,25.23,2006029012,161,27,14,2006,08,19,06,1,1,1,1,1,01
161,25.11,2006029013,161,27,14,2006,08,19,03,1,3,1,1,1,01
167,6.54,2006029014,167,27,12,2006,08,19,12,1,1,2,1,4,01
027,2.71,2006029015,027,38,14,2006,08,19,16,5,7,1,1,1,01
002,280.85,2006029016,002,32,14,2006,08,15,13,7,1,1,1,3,01
395,178.89,2006029017,395,32,02,2006,08,18,50,7,1,1,1,1,01
002,281.11,2006029018,002,32,14,2006,08,19,02,1,6,3,1,1,01
002,280.97,2006029019,002,32,14,2006,08,18,06,7,4,5,1,1,01
002,284.87,2006029020,002,32,14,2006,08,18,06,6,5,1,1,1,01
101COABERDN,4.17,2006029022,101,14,14,2006,08,16,06,1,1,3,1,3,02
101COABERDN,3.99,2006029023,101,14,14,2006,08,19,05,1,5,1,1,1,01
101,85.34,2006029024,101,14,14,2006,08,19,06,7,2,1,1,1,01
011,21.09,2006029025,011,37,14,2006,08,16,07,5,1,1,1,1,01
539,0.86,2006029026,539,37,14,2006,08,17,13,1,1,2,1,1,01
507,0.47,2006029027,507,21,16,2006,08,18,06,1,1,1,1,1,01
090Q101432B,0,2006029028,090,17,11,2006,08,18,13,1,1,1,1,4,01
099,0.18,2006029029,099,27,14,2006,08,19,06,1,1,2,1,1,01
